主要年份地区生产总值,,,,,,,
2016年,,,,,,,
,,,,,,,
,,,（当年价格）,,,,单位:亿元?
年份,地区生产总值,,,,,人均地区生产总值（元）,人均地区生产总值(美元)
,,第一产业,第二产业,第三产业,GDP中：,,
,,,,,工业,,
1978,43.09,5.03,25.25,12.82,24.36,907,
1979,48.75,5.16,26.97,16.62,25.91,1003,
1980,57.55,6.24,31.37,19.93,29.53,1160,
1985,124.36,12.04,65.81,46.5,57.7,2302,784
1986,139.55,13.21,70.11,56.23,60.85,2536,734
1987,173.21,15.68,79.41,78.11,69.3,3092,831
1988,240.08,22.78,114.16,103.14,97.21,4205,1130
1989,287.87,24.32,129.63,133.92,109.39,4953,1315
1990,319.6,25.73,136.3,157.57,118.1,5418,1133
1991,386.67,28.17,179.92,178.58,158.3,5956,1119
1992,510.7,35.64,241.31,233.75,212.01,7521,1364
1993,744.35,47.6,351.26,345.49,305.01,10481,1819
1994,985.31,60.62,455.63,469.06,387.02,13264,1539
1995,1259.2,73.46,578.03,607.71,493.41,16207,1941
1996,1468.06,81.16,671.97,714.93,577.5,18066,2175
1997,1678.12,85.72,761.22,831.18,660.54,19744,2382
1998,1893.52,88.88,820.13,984.51,707.01,21300,2573
1999,2139.18,92.85,931.07,1115.25,798.02,23007,2779
2000,2492.74,94.37,1021.62,1376.75,877.98,25626,3096
2001,2841.65,97.28,1112.29,1632.08,955.47,28537,3448
2002,3203.96,103.07,1211.34,1889.55,1050.95,32339,3907
2003,3758.62,109.91,1485.93,2162.78,1314.13,38398,4639
2004,4450.55,117.15,1788.06,2545.34,1594.15,45906,5546
2005,5154.23,130.22,2045.22,2978.79,1843.96,53809,6569
2006,6081.86,128.5,2441.52,3511.84,2227.01,63184,7840
2007,7140.32,149.87,2825.78,4164.67,2602.93,72123,9163
2008,8287.38,169.18,3227.87,4890.33,2972.48,81941,11006
2009,9138.21,172.28,3405.16,5560.77,3117.34,89082,11618
2010,10748.28,188.56,4002.27,6557.45,3644.96,87458,12882
2011,12423.44,204.54,4576.98,7641.92,4140.59,97588,15027
2012,13551.21,213.76,4720.65,8616.79,4264.16,105909,16778
2013,15497.23,228.46,5270.09,9998.68,4759.21,120294,19360
2014,16706.87,218.7,5590.97,10897.2,5070.63,128478,20915
2015,18100.41,226.84,5726.08,12147.49,5185.63,136188,21835
2016,19547.44,239.28,5751.59,13556.57,5215.72,141933,21382
注：从1991年起，人均地区生产总值按常住人口计算。,,,,,,,
